ScanNumber	ScanTypeName	ScanType	ScanStartTime
304	CID-HMSn	2	5.4396
305	CID-HMSn	2	5.4602
306	HMS	1	5.4783
307	CID-HMSn	2	5.4912
308	CID-HMSn	2	5.5121
309	CID-HMSn	2	5.5327
310	HMS	1	5.5531
311	CID-HMSn	2	5.5642
312	CID-HMSn	2	5.5832
313	CID-HMSn	2	5.6017
314	HMS	1	5.6231
315	CID-HMSn	2	5.6346
316	CID-HMSn	2	5.6551
317	CID-HMSn	2	5.6757
318	HMS	1	5.6961
319	CID-HMSn	2	5.7057
320	CID-HMSn	2	5.7176
321	CID-HMSn	2	5.7314
322	HMS	1	5.7517
323	CID-HMSn	2	5.7613
324	CID-HMSn	2	5.7789
325	CID-HMSn	2	5.7982
326	HMS	1	5.8186
327	CID-HMSn	2	5.8301
328	CID-HMSn	2	5.8371
329	CID-HMSn	2	5.8482
330	HMS	1	5.8651
331	CID-HMSn	2	5.8767
332	CID-HMSn	2	5.8884
333	CID-HMSn	2	5.9089
334	HMS	1	5.9292
335	CID-HMSn	2	5.9409
336	CID-HMSn	2	5.9476
337	CID-HMSn	2	5.9684
338	HMS	1	5.9887
339	CID-HMSn	2	6.0004
340	CID-HMSn	2	6.0156
341	CID-HMSn	2	6.0302
342	HMS	1	6.0466
343	CID-HMSn	2	6.0581
344	CID-HMSn	2	6.0689
345	CID-HMSn	2	6.0796
346	HMS	1	6.0999
347	CID-HMSn	2	6.1112
348	CID-HMSn	2	6.1186
349	CID-HMSn	2	6.1297
350	HMS	1	6.1436
351	CID-HMSn	2	6.1552
352	CID-HMSn	2	6.1732
353	CID-HMSn	2	6.1941
354	HMS	1	6.2144
355	CID-HMSn	2	6.2259
356	CID-HMSn	2	6.2326
357	CID-HMSn	2	6.2532
358	HMS	1	6.2737
359	CID-HMSn	2	6.2854
360	CID-HMSn	2	6.3061
361	CID-HMSn	2	6.3269
362	HMS	1	6.3472
363	CID-HMSn	2	6.3574
364	CID-HMSn	2	6.3671
365	CID-HMSn	2	6.3807
366	HMS	1	6.3936
367	CID-HMSn	2	6.4044
368	CID-HMSn	2	6.4169
369	CID-HMSn	2	6.4337
370	HMS	1	6.4446
371	CID-HMSn	2	6.4539
372	CID-HMSn	2	6.4594
373	CID-HMSn	2	6.4676
374	HMS	1	6.4796
375	CID-HMSn	2	6.4899
376	CID-HMSn	2	6.5024
377	CID-HMSn	2	6.5176
378	HMS	1	6.5347
379	CID-HMSn	2	6.5452
380	CID-HMSn	2	6.5501
381	CID-HMSn	2	6.5652
382	HMS	1	6.5797
383	CID-HMSn	2	6.5901
384	CID-HMSn	2	6.6089
385	CID-HMSn	2	6.6296
386	HMS	1	6.6454
387	CID-HMSn	2	6.6566
388	CID-HMSn	2	6.6774
389	CID-HMSn	2	6.6971
390	HMS	1	6.7157
391	CID-HMSn	2	6.7262
392	CID-HMSn	2	6.7316
393	CID-HMSn	2	6.7384
394	HMS	1	6.7581
395	CID-HMSn	2	6.7667
396	CID-HMSn	2	6.7729
397	CID-HMSn	2	6.7802
398	HMS	1	6.7914
399	CID-HMSn	2	6.8014
400	CID-HMSn	2	6.8114
401	CID-HMSn	2	6.8322
402	HMS	1	6.8527
403	CID-HMSn	2	6.8603
404	CID-HMSn	2	6.8694
405	CID-HMSn	2	6.8781
406	HMS	1	6.8942
407	CID-HMSn	2	6.9046
408	CID-HMSn	2	6.9117
409	CID-HMSn	2	6.9326
410	HMS	1	6.9514
411	CID-HMSn	2	6.9619
412	CID-HMSn	2	6.9777
413	CID-HMSn	2	6.9916
414	HMS	1	7.0096
415	CID-HMSn	2	7.0209
416	CID-HMSn	2	7.0341
417	CID-HMSn	2	7.0526
418	HMS	1	7.0691
419	CID-HMSn	2	7.0799
420	CID-HMSn	2	7.0857
421	CID-HMSn	2	7.0929
422	HMS	1	7.1002
423	CID-HMSn	2	7.1111
424	CID-HMSn	2	7.1317
425	CID-HMSn	2	7.1524
426	HMS	1	7.1727
427	CID-HMSn	2	7.1836
428	CID-HMSn	2	7.1931
429	CID-HMSn	2	7.2137
430	HMS	1	7.2341
431	CID-HMSn	2	7.2446
432	CID-HMSn	2	7.2527
433	CID-HMSn	2	7.2629
434	HMS	1	7.2809
435	CID-HMSn	2	7.2911
